runtime,run,phase,inner_rep,n,total_ns,ns_per_op
pulley,1,wait_for_0,0,20000,43644375,2182.2
pulley,1,concurrent_wait,0,1000,7287208,7287.2
pulley,1,stdout_stream,0,8192,344967917,42110.3
pulley,1,wait_for_0,1,20000,62271792,3113.6
pulley,1,concurrent_wait,1,1000,7608458,7608.5
pulley,1,stdout_stream,1,8192,363676333,44394.1
pulley,1,wait_for_0,2,20000,48853875,2442.7
pulley,1,concurrent_wait,2,1000,5676333,5676.3
pulley,1,stdout_stream,2,8192,388279584,47397.4
pulley,1,wait_for_0,3,20000,59761667,2988.1
pulley,1,concurrent_wait,3,1000,7195334,7195.3
pulley,1,stdout_stream,3,8192,375208417,45801.8
pulley,1,wait_for_0,4,20000,56761167,2838.1
pulley,1,concurrent_wait,4,1000,7512042,7512.0
pulley,1,stdout_stream,4,8192,391784583,47825.3
pulley,10,wait_for_0,0,20000,34027000,1701.3
pulley,10,concurrent_wait,0,1000,4890291,4890.3
pulley,10,stdout_stream,0,8192,360337125,43986.5
pulley,10,wait_for_0,1,20000,64035000,3201.8
pulley,10,concurrent_wait,1,1000,6161416,6161.4
pulley,10,stdout_stream,1,8192,362396791,44237.9
pulley,10,wait_for_0,2,20000,57483834,2874.2
pulley,10,concurrent_wait,2,1000,7703334,7703.3
pulley,10,stdout_stream,2,8192,393216000,48000.0
pulley,10,wait_for_0,3,20000,45579542,2279.0
pulley,10,concurrent_wait,3,1000,4658292,4658.3
pulley,10,stdout_stream,3,8192,355746833,43426.1
pulley,10,wait_for_0,4,20000,59622542,2981.1
pulley,10,concurrent_wait,4,1000,6132084,6132.1
pulley,10,stdout_stream,4,8192,407340959,49724.2
pulley,2,wait_for_0,0,20000,59310667,2965.5
pulley,2,concurrent_wait,0,1000,7817834,7817.8
pulley,2,stdout_stream,0,8192,377836084,46122.6
pulley,2,wait_for_0,1,20000,62315792,3115.8
pulley,2,concurrent_wait,1,1000,7693500,7693.5
pulley,2,stdout_stream,1,8192,383689417,46837.1
pulley,2,wait_for_0,2,20000,59586875,2979.3
pulley,2,concurrent_wait,2,1000,7945458,7945.5
pulley,2,stdout_stream,2,8192,359627125,43899.8
pulley,2,wait_for_0,3,20000,51808291,2590.4
pulley,2,concurrent_wait,3,1000,7571291,7571.3
pulley,2,stdout_stream,3,8192,381445042,46563.1
pulley,2,wait_for_0,4,20000,51451208,2572.6
pulley,2,concurrent_wait,4,1000,4020333,4020.3
pulley,2,stdout_stream,4,8192,415234958,50687.9
pulley,3,wait_for_0,0,20000,48961625,2448.1
pulley,3,concurrent_wait,0,1000,7765000,7765.0
pulley,3,stdout_stream,0,8192,376308208,45936.1
pulley,3,wait_for_0,1,20000,58835709,2941.8
pulley,3,concurrent_wait,1,1000,8069625,8069.6
pulley,3,stdout_stream,1,8192,379661292,46345.4
pulley,3,wait_for_0,2,20000,46469333,2323.5
pulley,3,concurrent_wait,2,1000,6931875,6931.9
pulley,3,stdout_stream,2,8192,363711208,44398.3
pulley,3,wait_for_0,3,20000,56836541,2841.8
pulley,3,concurrent_wait,3,1000,7836875,7836.9
pulley,3,stdout_stream,3,8192,367316250,44838.4
pulley,3,wait_for_0,4,20000,57031333,2851.6
pulley,3,concurrent_wait,4,1000,5013167,5013.2
pulley,3,stdout_stream,4,8192,388768958,47457.1
pulley,4,wait_for_0,0,20000,59973791,2998.7
pulley,4,concurrent_wait,0,1000,7626666,7626.7
pulley,4,stdout_stream,0,8192,364273833,44467.0
pulley,4,wait_for_0,1,20000,46054709,2302.7
pulley,4,concurrent_wait,1,1000,5487834,5487.8
pulley,4,stdout_stream,1,8192,354066042,43221.0
pulley,4,wait_for_0,2,20000,49328250,2466.4
pulley,4,concurrent_wait,2,1000,3722000,3722.0
pulley,4,stdout_stream,2,8192,315519000,38515.5
pulley,4,wait_for_0,3,20000,57512917,2875.6
pulley,4,concurrent_wait,3,1000,7438167,7438.2
pulley,4,stdout_stream,3,8192,404457333,49372.2
pulley,4,wait_for_0,4,20000,50825167,2541.3
pulley,4,concurrent_wait,4,1000,6806500,6806.5
pulley,4,stdout_stream,4,8192,354442958,43267.0
pulley,5,wait_for_0,0,20000,59748959,2987.4
pulley,5,concurrent_wait,0,1000,7618750,7618.8
pulley,5,stdout_stream,0,8192,389909625,47596.4
pulley,5,wait_for_0,1,20000,43830250,2191.5
pulley,5,concurrent_wait,1,1000,4482375,4482.4
pulley,5,stdout_stream,1,8192,337722208,41225.9
pulley,5,wait_for_0,2,20000,51596375,2579.8
pulley,5,concurrent_wait,2,1000,7431583,7431.6
pulley,5,stdout_stream,2,8192,402918292,49184.4
pulley,5,wait_for_0,3,20000,56744709,2837.2
pulley,5,concurrent_wait,3,1000,3826084,3826.1
pulley,5,stdout_stream,3,8192,355927791,43448.2
pulley,5,wait_for_0,4,20000,60205542,3010.3
pulley,5,concurrent_wait,4,1000,7921375,7921.4
pulley,5,stdout_stream,4,8192,446404125,54492.7
pulley,6,wait_for_0,0,20000,51354542,2567.7
pulley,6,concurrent_wait,0,1000,7721333,7721.3
pulley,6,stdout_stream,0,8192,400439541,48881.8
pulley,6,wait_for_0,1,20000,65455375,3272.8
pulley,6,concurrent_wait,1,1000,5833666,5833.7
pulley,6,stdout_stream,1,8192,327515750,39979.9
pulley,6,wait_for_0,2,20000,36009667,1800.5
pulley,6,concurrent_wait,2,1000,4557333,4557.3
pulley,6,stdout_stream,2,8192,295373417,36056.3
pulley,6,wait_for_0,3,20000,47197916,2359.9
pulley,6,concurrent_wait,3,1000,5942417,5942.4
pulley,6,stdout_stream,3,8192,385164250,47017.1
pulley,6,wait_for_0,4,20000,60656958,3032.8
pulley,6,concurrent_wait,4,1000,6179833,6179.8
pulley,6,stdout_stream,4,8192,401760459,49043.0
pulley,7,wait_for_0,0,20000,53440333,2672.0
pulley,7,concurrent_wait,0,1000,9222125,9222.1
pulley,7,stdout_stream,0,8192,316206625,38599.4
pulley,7,wait_for_0,1,20000,46435625,2321.8
pulley,7,concurrent_wait,1,1000,5753209,5753.2
pulley,7,stdout_stream,1,8192,409151500,49945.3
pulley,7,wait_for_0,2,20000,37330042,1866.5
pulley,7,concurrent_wait,2,1000,3602083,3602.1
pulley,7,stdout_stream,2,8192,321790041,39281.0
pulley,7,wait_for_0,3,20000,64671000,3233.6
pulley,7,concurrent_wait,3,1000,8041916,8041.9
pulley,7,stdout_stream,3,8192,391492458,47789.6
pulley,7,wait_for_0,4,20000,36517584,1825.9
pulley,7,concurrent_wait,4,1000,3750250,3750.2
pulley,7,stdout_stream,4,8192,535692417,65392.1
pulley,8,wait_for_0,0,20000,25656250,1282.8
pulley,8,concurrent_wait,0,1000,3213083,3213.1
pulley,8,stdout_stream,0,8192,198929667,24283.4
pulley,8,wait_for_0,1,20000,26001083,1300.1
pulley,8,concurrent_wait,1,1000,3093750,3093.8
pulley,8,stdout_stream,1,8192,335969459,41011.9
pulley,8,wait_for_0,2,20000,61704542,3085.2
pulley,8,concurrent_wait,2,1000,3313833,3313.8
pulley,8,stdout_stream,2,8192,325423333,39724.5
pulley,8,wait_for_0,3,20000,50071250,2503.6
pulley,8,concurrent_wait,3,1000,3801792,3801.8
pulley,8,stdout_stream,3,8192,370733792,45255.6
pulley,8,wait_for_0,4,20000,33013500,1650.7
pulley,8,concurrent_wait,4,1000,6344958,6345.0
pulley,8,stdout_stream,4,8192,548323084,66934.0
pulley,9,wait_for_0,0,20000,59155125,2957.8
pulley,9,concurrent_wait,0,1000,3280584,3280.6
pulley,9,stdout_stream,0,8192,295076458,36020.1
pulley,9,wait_for_0,1,20000,39903000,1995.2
pulley,9,concurrent_wait,1,1000,15143125,15143.1
pulley,9,stdout_stream,1,8192,256374333,31295.7
pulley,9,wait_for_0,2,20000,30875875,1543.8
pulley,9,concurrent_wait,2,1000,4146875,4146.9
pulley,9,stdout_stream,2,8192,249344916,30437.6
pulley,9,wait_for_0,3,20000,27464125,1373.2
pulley,9,concurrent_wait,3,1000,3182791,3182.8
pulley,9,stdout_stream,3,8192,175742292,21452.9
pulley,9,wait_for_0,4,20000,26379917,1319.0
pulley,9,concurrent_wait,4,1000,2969208,2969.2
pulley,9,stdout_stream,4,8192,191037625,23320.0
zwasm,1,wait_for_0,0,20000,140459958,7023.0
