rep,runtime,variant,scene,frames,fps_mean,fps_median,frame_ms_p50,frame_ms_p95,frame_ms_p99,frame_ms_max,guest_ms_mean,encode_ms_mean,gpu_ms_mean,init_ms,load_ms,phys_footprint_peak_bytes,phys_footprint_before_guest_bytes,linear_memory_peak_bytes,cpu_ms,e_share,ipc,run_instructions,run_cycles,all_hash,final_texture_hash,adapter,error
1,pulley,simd128,0,121,4.184,4.434,225.529,308.255,323.978,331.828,197.047,4.14,37.804,254.44,2704.077,50922416,,12386304,24247.951,0.9982,1.155,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
10,pulley,simd128,0,121,4.15,4.414,226.571,315.04,324.272,333.47,199.114,4.16,37.694,256.482,2686.647,50873224,,12386304,24455.792,0.9982,1.145,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
2,pulley,simd128,0,121,4.161,4.426,225.946,315.916,323.732,331.336,198.274,4.2,37.827,252.389,2698.047,50856920,,12386304,24394.808,0.9982,1.148,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
3,pulley,simd128,0,121,4.176,4.435,225.495,308.642,330.555,331.954,196.861,4.159,38.434,254.332,2698.118,51200904,,12386304,24204.968,0.9982,1.157,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
4,pulley,simd128,0,121,4.31,4.527,220.898,300.105,307.605,315.426,190.197,4.177,37.626,254.835,2700.689,50905992,,12386304,23404.571,0.9981,1.197,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
5,pulley,simd128,0,121,4.339,4.534,220.555,300.613,308.76,316.529,188.253,4.18,38.008,255.056,2684.017,50922376,,12386304,23209.837,0.9982,1.207,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
6,pulley,simd128,0,121,4.188,4.45,224.738,307.528,322.049,331.955,197.019,4.211,37.539,258.778,2700.103,50906032,,12386304,24257.862,0.9982,1.155,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
7,pulley,simd128,0,121,4.334,4.546,219.951,296.241,307.553,315.69,188.452,4.191,38.092,260.55,2683.874,51233712,,12386304,23225.01,0.9982,1.206,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
8,pulley,simd128,0,121,4.322,4.546,219.979,299.544,314.553,319.24,189.308,4.144,37.947,256.508,2686.477,50922376,,12386304,23308.295,0.9982,1.202,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
9,pulley,simd128,0,121,4.153,4.41,226.761,315.87,324.068,331.857,199.002,4.171,37.604,253.824,2685.867,50906032,,12386304,24481.646,0.9982,1.144,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
1,pulley,simd128,1,121,8.09,9.187,108.848,175.104,179.096,179.498,109.921,3.049,10.643,299.652,2726.571,41157512,,6291456,13633.595,0.9971,1.116,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
10,pulley,simd128,1,121,7.843,8.852,112.973,179.842,182.26,182.866,113.906,2.973,10.628,296.416,2689.794,41272200,,6291456,14099.537,0.9972,1.079,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
2,pulley,simd128,1,121,7.905,8.911,112.217,179.875,181.449,184.262,112.906,2.992,10.598,293.497,2697.499,41304968,,6291456,13976.295,0.9971,1.088,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
3,pulley,simd128,1,121,7.846,8.768,114.047,178.597,181.319,182.539,113.689,2.978,10.779,297.735,2710.614,41255816,,6291456,14108.267,0.9972,1.078,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
4,pulley,simd128,1,121,7.848,8.869,112.756,180.529,181.242,181.249,113.815,3.0,10.614,298.8,2706.232,41321352,,6291456,14101.11,0.9971,1.079,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
5,pulley,simd128,1,121,8.094,9.199,108.705,176.807,179.196,181.655,109.919,3.003,10.628,299.752,2708.513,41173896,,6291456,13620.788,0.997,1.117,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
6,pulley,simd128,1,121,7.908,8.894,112.433,179.93,181.965,182.158,112.856,2.986,10.605,296.95,2694.017,41304968,,6291456,13975.371,0.9971,1.089,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
7,pulley,simd128,1,121,7.966,9.033,110.707,178.778,180.539,182.655,111.942,3.004,10.595,295.798,2676.28,41173936,,6291456,13866.183,0.9971,1.097,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
8,pulley,simd128,1,121,7.868,8.905,112.294,180.156,182.659,182.7,113.455,3.012,10.632,297.156,2694.641,41190320,,6291456,14076.703,0.9972,1.081,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
9,pulley,simd128,1,121,7.824,8.795,113.699,179.924,181.098,182.095,114.186,3.018,10.614,296.004,2711.312,41255816,,6291456,14139.071,0.9972,1.076,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
1,tinywasm,simd128,0,121,2.746,2.966,337.1,491.751,512.385,514.458,322.47,4.141,37.566,413.904,77.067,54723464,,12386304,39258.842,0.9989,1.586,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
10,tinywasm,simd128,0,121,2.744,2.954,338.579,490.372,512.82,515.701,322.695,4.082,37.689,442.871,72.112,54477664,,12386304,39222.843,0.9988,1.588,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
2,tinywasm,simd128,0,121,2.76,2.965,337.273,483.921,506.733,511.917,320.499,4.151,37.671,412.795,79.23,54559584,,12386304,38985.84,0.9989,1.597,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
3,tinywasm,simd128,0,121,2.759,2.949,339.081,483.608,509.552,513.851,320.183,4.161,38.059,410.511,73.798,54772616,,12386304,39033.247,0.9988,1.595,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
4,tinywasm,simd128,0,121,2.753,2.967,337.095,484.217,510.331,515.061,321.04,4.245,37.908,414.205,74.681,54461320,,12386304,39095.908,0.9989,1.593,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
5,tinywasm,simd128,0,121,2.768,2.97,336.753,482.265,501.417,521.213,319.283,4.153,37.85,414.868,75.44,54690656,,12386304,38861.282,0.9988,1.602,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
6,tinywasm,simd128,0,121,2.746,2.956,338.345,490.792,509.252,516.94,322.016,4.195,37.925,409.747,78.284,54559624,,12386304,39177.014,0.9988,1.59,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
7,tinywasm,simd128,0,121,2.758,2.954,338.551,482.676,506.338,511.96,320.577,4.111,37.856,413.179,73.317,54920032,,12386304,39030.901,0.9988,1.595,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
8,tinywasm,simd128,0,121,2.776,2.974,336.282,480.795,498.779,509.206,318.085,4.156,37.999,410.39,83.207,54412168,,12386304,38745.826,0.9988,1.607,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
