rep,runtime,variant,scene,frames,fps_mean,fps_median,frame_ms_p50,frame_ms_p95,frame_ms_p99,frame_ms_max,guest_ms_mean,encode_ms_mean,gpu_ms_mean,init_ms,load_ms,phys_footprint_peak_bytes,phys_footprint_before_guest_bytes,linear_memory_peak_bytes,cpu_ms,e_share,ipc,run_instructions,run_cycles,all_hash,final_texture_hash,adapter,error
1,pulley,simd128,0,121,8.781,9.147,109.327,156.847,178.113,179.692,107.137,2.641,4.11,153.242,1828.609,553042712,,12386304,12191.007,1.0,2.694,94252240198,35490009670,f9fa7399f9cbc21b,d8670619b1c3d306,Apple M4 Max (Metal),
1,pulley,simd128,1,121,14.605,16.284,61.41,108.784,117.073,120.595,64.823,1.947,1.702,184.888,1743.226,546620184,,6291456,7389.667,1.0,2.523,53939889596,21730925121,a4d95f880db7a22b,33e4bacd203e3c72,Apple M4 Max (Metal),
1,wamr,simd128,0,121,10.873,11.471,87.175,128.01,146.42,162.488,85.139,2.717,4.112,120.961,59.969,534741760,,12386304,9627.228,1.0,2.512,65778930884,26300534907,f9fa7399f9cbc21b,d8670619b1c3d306,Apple M4 Max (Metal),
1,wamr,simd128,1,121,18.594,19.964,50.09,83.381,85.126,90.381,50.325,1.803,1.654,152.413,53.097,529744640,,6291456,5695.266,0.9999,2.392,37990042381,15955963025,a4d95f880db7a22b,33e4bacd203e3c72,Apple M4 Max (Metal),
1,wasm3,scalar,0,121,15.344,15.768,63.42,90.357,99.383,100.244,58.614,2.511,4.048,91.876,2.491,539394816,,12386304,6726.488,0.9999,2.395,43582664084,18305553520,f9fa7399f9cbc21b,d8670619b1c3d306,Apple M4 Max (Metal),
1,wasm3,scalar,1,121,25.217,26.108,38.302,63.295,65.804,70.061,36.074,1.968,1.614,105.958,1.904,533463784,,6291456,4190.701,1.0,2.308,25708987413,11228276818,a4d95f880db7a22b,33e4bacd203e3c72,Apple M4 Max (Metal),
1,wasmedge,simd128,0,121,2.064,2.263,441.938,683.648,774.579,793.647,478.163,2.267,3.979,671.155,70.927,554763032,,12386304,51774.697,1.0,3.242,466998516477,143986949383,f9fa7399f9cbc21b,d8670619b1c3d306,Apple M4 Max (Metal),
1,wasmedge,simd128,1,121,3.319,3.765,265.633,449.695,469.462,470.932,298.21,1.655,1.434,698.921,64.705,529416960,,6291456,32929.209,1.0,3.161,270267335745,85692503309,a4d95f880db7a22b,33e4bacd203e3c72,Apple M4 Max (Metal),
1,zwasm,scalar,0,121,2.132,2.31,432.938,652.347,675.4,682.511,462.542,2.549,4.014,628.995,29.252,545555224,,12386304,51087.734,1.0,3.811,496810925218,130558927629,f9fa7399f9cbc21b,d8670619b1c3d306,Apple M4 Max (Metal),
1,zwasm,scalar,1,121,3.517,4.183,239.037,425.762,442.0,443.836,281.009,1.856,1.475,911.403,25.55,540558080,,6291456,30764.983,1.0,3.659,289917831366,79313806538,a4d95f880db7a22b,33e4bacd203e3c72,Apple M4 Max (Metal),
1,wasmz,scalar,0,121,9.635,10.136,98.661,145.15,153.093,155.554,97.232,2.452,4.108,202.914,26.009,582894408,,12386304,10852.272,1.0,2.346,66695234927,28533391751,f9fa7399f9cbc21b,d8670619b1c3d306,Apple M4 Max (Metal),
