rep,runtime,case,ok,result,iterations,load_ns,min_ns,median_ns,p99_ns,cpu_user_ns,cpu_system_ns,p_cpu_ns,e_share,ipc,instructions,cycles,rss_peak_bytes,error
1,pulley,graphql_porf_trycatch,False,,,,,,,,,,,,,,,graphql-validation-porf: Module::from_binary failed: failed to compile: wasm[0]::function[30]: WebAssembly translation error: Unsupported feature: operator Try { blockty: Empty }
1,wamr,graphql_porf_trycatch,True,0,175,12870541,5333125,10466292,16179250,1185822000.0,537296000,5227916,0.997,2.39268087816469,6110446556,2553807577,20332544,
1,wasm3,graphql_porf_trycatch,False,,,,,,,,,,,,,,,wasm3 m3_ParseModule failed: out of order Wasm section
1,wasmedge,graphql_porf_trycatch,False,,,,,,,,,,,,,,,"WasmEdge LoaderParseFromBytes: illegal opcode
loading failed: illegal opcode, Code: 0x117
    Bytecode offset: 0x0000fa34
    At AST node: instruction
    At AST node: expression
    At AST node: code segment
    At AST node: code section
    At AST node: module"
1,zwasm,graphql_porf_trycatch,False,,,,,,,,,,,,,,,wasm_module_new failed (invalid wasm or unsupported feature)
1,wasmz,graphql_porf_trycatch,False,,,,,,,,,,,,,,,init warmup failed: wasmz m() trap: multi-value results are not supported by the C API (results_len = 2)
1,tinywasm,graphql_porf_trycatch,False,,,,,,,,,,,,,,,tinywasm::parse_bytes failed: error parsing module: legacy exceptions support is not enabled (at offset 0xfa34) at offset 64052
2,pulley,graphql_porf_trycatch,False,,,,,,,,,,,,,,,graphql-validation-porf: Module::from_binary failed: failed to compile: wasm[0]::function[30]: WebAssembly translation error: Unsupported feature: operator Try { blockty: Empty }
2,wamr,graphql_porf_trycatch,True,0,151,11055375,5377667,10498042,15062458,1065593000.0,461607000,4013000,0.9974,2.435495061347274,5267498278,2162803925,20168704,
2,wasm3,graphql_porf_trycatch,False,,,,,,,,,,,,,,,wasm3 m3_ParseModule failed: out of order Wasm section
2,wasmedge,graphql_porf_trycatch,False,,,,,,,,,,,,,,,"WasmEdge LoaderParseFromBytes: illegal opcode
loading failed: illegal opcode, Code: 0x117
    Bytecode offset: 0x0000fa34
    At AST node: instruction
    At AST node: expression
    At AST node: code segment
    At AST node: code section
    At AST node: module"
2,zwasm,graphql_porf_trycatch,False,,,,,,,,,,,,,,,wasm_module_new failed (invalid wasm or unsupported feature)
2,wasmz,graphql_porf_trycatch,False,,,,,,,,,,,,,,,init warmup failed: wasmz m() trap: multi-value results are not supported by the C API (results_len = 2)
2,tinywasm,graphql_porf_trycatch,False,,,,,,,,,,,,,,,tinywasm::parse_bytes failed: error parsing module: legacy exceptions support is not enabled (at offset 0xfa34) at offset 64052
3,pulley,graphql_porf_trycatch,False,,,,,,,,,,,,,,,graphql-validation-porf: Module::from_binary failed: failed to compile: wasm[0]::function[30]: WebAssembly translation error: Unsupported feature: operator Try { blockty: Empty }
3,wamr,graphql_porf_trycatch,True,0,188,12032042,5677792,10581667,17188583,1301821000.0,582670000,6482542,0.9966,2.401447890899711,6579348793,2739742477,20283392,
3,wasm3,graphql_porf_trycatch,False,,,,,,,,,,,,,,,wasm3 m3_ParseModule failed: out of order Wasm section
3,wasmedge,graphql_porf_trycatch,False,,,,,,,,,,,,,,,"WasmEdge LoaderParseFromBytes: illegal opcode
loading failed: illegal opcode, Code: 0x117
    Bytecode offset: 0x0000fa34
    At AST node: instruction
    At AST node: expression
    At AST node: code segment
    At AST node: code section
    At AST node: module"
3,zwasm,graphql_porf_trycatch,False,,,,,,,,,,,,,,,wasm_module_new failed (invalid wasm or unsupported feature)
3,wasmz,graphql_porf_trycatch,False,,,,,,,,,,,,,,,init warmup failed: wasmz m() trap: multi-value results are not supported by the C API (results_len = 2)
3,tinywasm,graphql_porf_trycatch,False,,,,,,,,,,,,,,,tinywasm::parse_bytes failed: error parsing module: legacy exceptions support is not enabled (at offset 0xfa34) at offset 64052
4,pulley,graphql_porf_trycatch,False,,,,,,,,,,,,,,,graphql-validation-porf: Module::from_binary failed: failed to compile: wasm[0]::function[30]: WebAssembly translation error: Unsupported feature: operator Try { blockty: Empty }
4,wamr,graphql_porf_trycatch,True,0,156,11573750,5480875,10464792,14147042,1114676000.0,470767000,4457209,0.9972,2.463275195984742,5432242224,2205292463,20283392,
4,wasm3,graphql_porf_trycatch,False,,,,,,,,,,,,,,,wasm3 m3_ParseModule failed: out of order Wasm section
4,wasmedge,graphql_porf_trycatch,False,,,,,,,,,,,,,,,"WasmEdge LoaderParseFromBytes: illegal opcode
loading failed: illegal opcode, Code: 0x117
    Bytecode offset: 0x0000fa34
    At AST node: instruction
    At AST node: expression
    At AST node: code segment
    At AST node: code section
    At AST node: module"
4,zwasm,graphql_porf_trycatch,False,,,,,,,,,,,,,,,wasm_module_new failed (invalid wasm or unsupported feature)
4,wasmz,graphql_porf_trycatch,False,,,,,,,,,,,,,,,init warmup failed: wasmz m() trap: multi-value results are not supported by the C API (results_len = 2)
4,tinywasm,graphql_porf_trycatch,False,,,,,,,,,,,,,,,tinywasm::parse_bytes failed: error parsing module: legacy exceptions support is not enabled (at offset 0xfa34) at offset 64052
5,pulley,graphql_porf_trycatch,False,,,,,,,,,,,,,,,graphql-validation-porf: Module::from_binary failed: failed to compile: wasm[0]::function[30]: WebAssembly translation error: Unsupported feature: operator Try { blockty: Empty }
5,wamr,graphql_porf_trycatch,True,0,200,7987875,5785208,10559375,17233208,1404361000.0,608681000,5762750,0.9971,2.417109935886731,6967391495,2882529831,20185088,
5,wasm3,graphql_porf_trycatch,False,,,,,,,,,,,,,,,wasm3 m3_ParseModule failed: out of order Wasm section
5,wasmedge,graphql_porf_trycatch,False,,,,,,,,,,,,,,,"WasmEdge LoaderParseFromBytes: illegal opcode
loading failed: illegal opcode, Code: 0x117
    Bytecode offset: 0x0000fa34
    At AST node: instruction
    At AST node: expression
    At AST node: code segment
    At AST node: code section
    At AST node: module"
5,zwasm,graphql_porf_trycatch,False,,,,,,,,,,,,,,,wasm_module_new failed (invalid wasm or unsupported feature)
5,wasmz,graphql_porf_trycatch,False,,,,,,,,,,,,,,,init warmup failed: wasmz m() trap: multi-value results are not supported by the C API (results_len = 2)
5,tinywasm,graphql_porf_trycatch,False,,,,,,,,,,,,,,,tinywasm::parse_bytes failed: error parsing module: legacy exceptions support is not enabled (at offset 0xfa34) at offset 64052
6,pulley,graphql_porf_trycatch,False,,,,,,,,,,,,,,,graphql-validation-porf: Module::from_binary failed: failed to compile: wasm[0]::function[30]: WebAssembly translation error: Unsupported feature: operator Try { blockty: Empty }
