rep,runtime,case,ok,result,iterations,load_ns,min_ns,median_ns,p99_ns,cpu_user_ns,cpu_system_ns,p_cpu_ns,e_share,ipc,instructions,cycles,rss_peak_bytes,error,phys_footprint_bytes,phys_footprint_peak_bytes
0,pulley,fib,True,832040,21,2385791,48695292,87954042,120553125,1517126000,42613000,0,1.0,,7472884007,2545326901,7241728,,2687360,2720128
0,pulley,fib_tail,True,873876091,3057,2610500,251875,640667,1457542,1458583000,47459000,0,1.0,,6662107077,2069170294,7438336,,2818408,2851176
0,pulley,factorial,True,-2102132736,16384,1956833,208,375,833,8254000,428000,0,1.0,,36992010,13186247,7618560,,2867608,2900376
0,pulley,sieve,True,1229,1670,3653792,366084,804834,1565750,1140338000,35376000,0,1.0,,4958506981,1651882450,8683520,,3555736,3719576
0,pulley,crc32,True,-1910355869,535,3379583,2396667,4906667,8545291,2309890000,78189000,0,1.0,,12449959290,3248135131,8224768,,3146136,3260824
0,pulley,matmul_simd,True,48907,644,5315167,1630542,3036542,6018333,1781291000,54625000,0,1.0,,9647380707,2795987051,8667136,,3604864,3686784
0,pulley,matmul_fma,True,48907,1224,5961458,1202916,2480042,4304292,2747230000,83324000,0,1.0,,14908244035,3945886408,8716288,,3621224,3719552
0,pulley,convolution,True,8190685,431,4779167,3172916,6592750,9526250,2457599000,80429000,0,1.0,,12267696252,3406763025,8519680,,3408280,3572120
0,pulley,audio_dsp,True,761667740,1,3864375,1403684208,1403684208,1403684208,1248022000,37626000,0,1.0,,5328700640,1562184819,8044544,,3228056,3277208
0,pulley,bulk_memory,True,8698902,75,3326167,14923416,25642792,34541000,1657834000,48378000,0,1.0,,5716889330,2280773131,8896512,,3621272,3883416
0,pulley,call_indirect,True,-9175573,46,6280375,19525750,34415666,48190041,1393759000,41706000,0,1.0,,4084114186,1967048531,8978432,,3965336,4129176
0,pulley,factorial.scalar,True,-2102132736,16384,1189333,291,833,1041,12022000,412000,0,1.0,,41776736,15860466,7356416,,2834840,2867608
0,pulley,sieve.scalar,True,1229,5300,2758084,370459,947583,2087750,3963447000,123487000,0,1.0,,17446533025,5279870298,8536064,,3604888,3768728
0,pulley,crc32.scalar,True,-1910355869,333,3481208,2391709,5162792,8061833,1490439000,47513000,0,1.0,,7784393813,2039687821,8011776,,3080600,3195288
0,pulley,convolution.scalar,True,8190685,235,1850542,6113583,13215583,18210000,2692000000,80852000,0,1.0,,15548165614,3735746308,7929856,,3047808,3228056
0,pulley,bulk_memory.scalar,True,8698902,76,6193917,13674709,26263708,33251166,1719839000,54562000,0,1.0,,5949639923,2336997383,8650752,,3588480,3867032
0,pulley,xmrsplayer,True,53357764,207,276223417,8947083,17452000,24470500,3194944000,99222000,0,1.0,,12314496538,4485832715,37109760,,16056728,31670704
0,pulley,vtable_mono,True,-318559695,32,11201125,42444583,59063167,74964083,1705387000,50623000,0,1.0,,5475689458,2384532419,9666560,,4555160,4719000
0,pulley,vtable_bi,True,-208336512,25,9749750,47241459,63975417,74653833,1368354000,43526000,0,1.0,,4426316247,1923747745,9650176,,4522368,4686208
0,pulley,vtable_poly4,True,-126115384,33,10340625,44652584,63027541,86129458,1777870000,46650000,0,1.0,,6012554391,2567073674,9682944,,4522368,4719000
0,pulley,vtable_poly6,True,579248763,48,9446125,45266084,68980458,91636583,2896481000,91746000,0,1.0,,9597502464,4123581725,9682944,,4538776,4719000
0,pulley,graphql_as,True,5,177,173878375,5883541,10561625,18425959,1667230000,56344000,0,1.0,,6119734034,2404549641,16154624,,10650008,11075992
0,pulley,tailcall_fsm,True,-1841735369,398,5519500,2558125,5538291,13351500,1864586000,58321000,0,1.0,,6377574835,2700277312,8421376,,3473792,3572096
0,pulley,eh_parser_exnref,True,830008030,178,5544750,9074583,18921917,24955333,2967047000,88053000,0,1.0,,10208755822,4237129511,9175040,,3834264,4211120
0,pulley,eh_parser_legacy,False,,,,,,,,,,,,,,,Module::from_binary failed — invalid wasm or unsupported feature?: failed to compile: wasm[0]::function[6]: WebAssembly translation error: Unsupported feature: operator Try { blockty: Empty },,
0,pulley,gc_trees,True,-81253392,14,5191541,125449083,146377416,156977292,1774879000,54718000,0,1.0,,7465487541,2481581399,9945088,,3981672,5079424
0,pulley,callref_dispatch,True,-750120562,58,4546042,20756250,30677500,40892000,1601911000,50555000,0,1.0,,4180392717,2221266725,8339456,,3522944,3555712
0,pulley,callref_dispatch.indirect,True,-750120562,56,4759167,16829583,29945250,42568333,1457648000,42923000,0,1.0,,3863179889,1996127839,8044544,,3277184,3309952
0,pulley,relaxed_dot,True,-551922832,326,6489583,3164917,6989958,9594125,1988211000,61054000,0,1.0,,9277378348,2690995600,9224192,,3965336,4161944
0,pulley,relaxed_madd,True,-1435646925,4790,6927583,163791,416250,1022750,1483063000,45815000,0,1.0,,6437557666,2107232236,9388032,,4080024,4293016
0,pulley,mem64_chase,True,433527714,19,8449250,54069167,80743834,181205333,1355063000,47117000,0,1.0,,1359703771,1994273745,74776576,,2851176,70025624
0,pulley,mem64_chase.mem32,True,433527714,20,2024333,44279417,92983166,113742333,1474572000,44705000,0,1.0,,961182835,2069704540,74743808,,2851200,70025648
0,pulley,multimem_transform,True,902712413,222,3547667,3607250,6987250,13174250,1317475000,43795000,0,1.0,,7162600587,2012720955,8159232,,2998656,3408304
0,pulley,multimem_transform.single,True,902712413,218,2004375,5195292,10616750,15936375,1919998000,90081000,0,1.0,,9449217244,2825916111,8060928,,2883920,3277160
0,pulley,extconst_init,True,-1152068691,8311,862885125,56458,85333,589792,758740000,152272000,513542,0.9994,,4000195983,1467815743,52117504,,47055280,47235504
0,pulley,extconst_init.mvp,True,-1152068691,16384,76389458,34333,63459,414000,881468000,380128000,1680292,0.9987,,4642642604,1974789386,13549568,,8536472,8749464
0,pulley,graphql_porf,True,0,130,304091583,7629500,12828250,23184959,1170853000,343129000,5426916,0.9964,,4108635247,2178060042,34603008,,18710936,29131208
0,pulley,graphql_porf_trycatch,False,,,,,,,,,,,,,,,graphql-validation-porf: Module::from_binary failed: failed to compile: wasm[0]::function[30]: WebAssembly translation error: Unsupported feature: operator Try { blockty: Empty },,
0,pulley,sqlite3,True,0,1,2650920542,46536814084,46536814084,46536814084,36604405000,1456727000,58167,1.0,,152050217907,62133466251,83083264,,57557424,77119944
0,wamr,fib,True,832040,17,1840875,84761375,116003042,125854291,1747712000,57142000,0,1.0,,8808406574,2747029575,11845632,,2277736,10682752
0,wamr,fib_tail,True,873876091,2007,818333,386791,681000,1995000,1317003000,48196000,0,1.0,,4655887347,2109103021,11878400,,2326912,10715520
0,wamr,factorial,True,-2102132736,16384,1792292,166,583,792,9300000,878000,102917,0.9899,,42023619,12800483,11976704,,2425192,10797416
0,wamr,sieve,True,1229,3978,1158500,259291,388042,1662959,1630730000,63888000,0,1.0,,9353658332,2797187130,11911168,,2310504,10731904
0,wamr,crc32,True,-1910355869,648,1144958,1966083,3898542,6980583,2260030000,85270000,0,1.0,,8708529519,3374746045,11960320,,2294120,10781056
0,wamr,matmul_simd,True,48907,1054,1726875,1311750,2074084,6022166,2088335000,65755000,0,1.0,,13850981201,3741959045,11943936,,2326912,10764672
0,wamr,matmul_fma,True,48907,1365,1660000,983375,1983417,4361750,2436913000,77551000,0,1.0,,13482242115,3606671235,11943936,,2326912,10764672
0,wamr,convolution,True,8190685,761,1489833,2087291,4101375,6932917,2750138000,104532000,0,1.0,,13824591990,4277480488,12009472,,2294120,10813800
0,wamr,audio_dsp,True,761667740,2,1508833,868314084,887079292,887079292,1476449000,54823000,56875,1.0,,5370390731,2369900222,11894784,,2310528,10715520
0,wamr,bulk_memory,True,8698902,156,1576333,5360250,11128417,16114375,1541421000,47313000,0,1.0,,5814663881,2175414888,12058624,,2310528,10862976
0,wamr,call_indirect,True,-9175573,146,1238250,10638334,19426750,29379584,2319737000,83242000,0,1.0,,9420801698,3723921517,11960320,,2343272,10764672
0,wamr,factorial.scalar,True,-2102132736,16384,2692500,167,333,458,5945000,631000,0,1.0,,36747312,12942284,12009472,,2458008,10813824
0,wamr,sieve.scalar,True,1229,6372,864667,273125,366542,1871292,2500959000,119823000,0,1.0,,12260692014,4840670462,11960320,,2392472,10764672
0,wamr,crc32.scalar,True,-1910355869,504,1220958,1957500,4308917,12487041,1648987000,75048000,0,1.0,,6825728890,2687789512,11976704,,2310528,10781056
0,wamr,convolution.scalar,True,8190685,109,1764375,8808916,15525958,24823375,1208287000,56300000,0,1.0,,3823330120,1780687519,12025856,,2277736,10813824
0,wamr,bulk_memory.scalar,True,8698902,199,1446792,6659417,12628917,31105958,1842228000,81944000,0,1.0,,7579772750,2985839845,12075008,,2310528,10862976
0,wamr,xmrsplayer,True,2023360416,107,10167833,6841791,14017333,27693625,1098125000,49594000,0,1.0,,5228515843,1802639173,28491776,,3441024,26952064
0,wamr,vtable_mono,True,-318559695,61,2034167,23036000,35670667,54240125,1536105000,70705000,0,1.0,,7551110437,2354508065,11976704,,2359656,10781056
0,wamr,vtable_bi,True,-208336512,76,1748917,24328167,43171834,57702459,2307709000,109559000,0,1.0,,10500918092,3442911223,11976704,,2376064,10781056
0,wamr,vtable_poly4,True,-126115384,33,2441625,21633833,34640084,55764292,837865000,48822000,122375,0.9999,,4699204612,1681631247,12009472,,2376064,10797440
0,wamr,vtable_poly6,True,579248763,29,4087625,25269125,50166167,79403625,818322000,60734000,0,1.0,,4284471994,1630600693,12009472,,2359656,10797440
0,wamr,graphql_as,True,5,463,3815292,3091292,8425416,26392958,2848347000,196083000,0,1.0,,12881779142,5381387641,12730368,,3031448,11469208
0,wamr,tailcall_fsm,True,-1841735369,206,2034125,5150666,10462250,28837375,1505927000,98675000,0,1.0,,10146839476,2898963399,12058624,,2376064,10830208
0,wamr,eh_parser_exnref,False,,,,,,,,,,,,,,,wasm_runtime_load failed: WASM module load failed: unsupported opcode 1f,,
0,wamr,eh_parser_legacy,True,830008030,174,1107583,7477334,13532458,25949959,1776760000,126227000,0,1.0,,9076606438,3148018971,12124160,,2408856,10846592
0,wamr,gc_trees,False,,,,,,,,,,,,,,,wasm_runtime_load failed: WASM module load failed: invalid type flag,,
0,wamr,callref_dispatch,False,,,,,,,,,,,,,,,wasm_runtime_load failed: WASM module load failed: incompatible import type,,
0,wamr,callref_dispatch.indirect,True,-750120562,136,128375,11062000,17972166,32096250,1870367000,122054000,0,1.0,,8876781519,3576828428,3489792,,2294144,2294144
0,wamr,relaxed_dot,True,-551922832,901,1581792,1190792,2280875,8263000,1531467000,123795000,0,1.0,,8375335571,2929471634,11976704,,2310528,10764672
0,wamr,relaxed_madd,True,-1435646925,1320,1791583,193667,321791,2424541,390949000,23804000,0,1.0,,2403403408,712338541,12075008,,2310504,10830208
0,wamr,mem64_chase,False,,,,,,,,,,,,,,,wasm_runtime_load failed: WASM module load failed: invalid limits flags,,
0,wamr,mem64_chase.mem32,True,433527714,16,1779834,40347125,54786417,116207333,710433000,49899000,733250,0.999,,510468243,1275833292,78987264,,2294144,77824432
0,wamr,multimem_transform,False,,,,,,,,,,,,,,,wasm_runtime_load failed: WASM module load failed: multiple memories,,
0,wamr,multimem_transform.single,True,902712413,938,1335792,1914959,3263125,9048167,2620719000,156385000,0,1.0,,14020457712,4950050185,12255232,,2310528,11043200
0,wamr,extconst_init,True,-1152068691,5786,3322333,253209,428375,1884125,2267807000,229515000,406083,0.9998,,12527623649,4273224942,5488640,,4129176,4145560
0,wamr,extconst_init.mvp,True,-1152068691,16384,1302666,45875,61416,352750,1111763000,184517000,554541,0.9996,,7039856490,2206862953,4210688,,2916760,2933144
0,wamr,graphql_porf,True,0,244,7093292,4521208,8575667,35558875,1288640000,512538000,8082417,0.9955,,8434066065,3275815074,20135936,,4653464,18743704
0,wamr,graphql_porf_trycatch,True,0,213,9236584,4520459,6942916,43446458,1024552000,426363000,6035916,0.9958,,7513659370,2963347032,20168704,,4538776,18809240
0,wamr,sqlite3,False,,,,,,,,,,,,,,,N/A — the harness only has a WASI preview-1 + bench.* import shim for Pulley,,
0,wasm3,fib,True,832040,21,172334,52622334,82389250,108865417,1339173000,64709000,0,1.0,,7797452812,2444523502,4554752,,3473816,3473816
0,wasm3,fib_tail,True,873876091,7939,212625,251166,489833,2380167,3484942000,164827000,0,1.0,,12533983664,5439178157,4636672,,3539352,3539352
0,wasm3,factorial,False,,,,,,,,,,,,,,,wasm3 m3_FindFunction(factorial) failed: compiling function underran the stack,,
0,wasm3,sieve,False,,,,,,,,,,,,,,,wasm3 m3_FindFunction(sieve) failed: incorrect type on stack,,
0,wasm3,crc32,False,,,,,,,,,,,,,,,wasm3 m3_FindFunction(crc32) failed: compiling function underran the stack,,
0,wasm3,matmul_simd,False,,,,,,,,,,,,,,,wasm3 m3_FindFunction(matmul) failed: unknown type,,
0,wasm3,matmul_fma,False,,,,,,,,,,,,,,,wasm3 m3_FindFunction(matmul_fma) failed: unknown type,,
0,wasm3,convolution,False,,,,,,,,,,,,,,,wasm3 m3_FindFunction(convolve) failed: incorrect type on stack,,
