dispatch,rep,runtime,case,ok,result,iterations,load_ns,min_ns,median_ns,p99_ns,cpu_user_ns,cpu_system_ns,p_cpu_ns,e_share,ipc,instructions,cycles,rss_peak_bytes,error
tail,1,pulley,fib,True,832040,18,2562417,83848875,93992917,111161833,1484848000,48241000,0,1.0,,6419350023,2203320905,7159808,
tail,1,pulley,fib_tail,True,873876091,7272,1248583,247583,376208,1300042,2915194000,88093000,0,1.0,,15845307368,4835045778,7782400,
tail,1,pulley,audio_dsp,True,761667740,1,2798458,1358991541,1358991541,1358991541,1048179000,30190000,0,1.0,,5330925216,1558872832,8863744,
tail,1,pulley,call_indirect,True,-9175573,45,7052250,16447459,21394166,96664334,1001666000,27743000,0,1.0,,3988024758,1917541714,9830400,
tail,1,pulley,convolution.scalar,True,8190685,320,2030959,6080959,9794167,41400625,2780983000,90818000,0,1.0,,21182877146,5110494915,9928704,
tail,1,pulley,xmrsplayer,True,1126733788,96,268208125,8389333,16141250,68659750,1177186000,35313000,0,1.0,,5708890028,2081104612,37076992,
tail,1,pulley,vtable_poly4,True,-126115384,63,5475833,31272625,46456041,227895500,2484558000,52313000,0,1.0,,11456243726,4886312330,37076992,
tail,1,pulley,graphql_as,True,5,380,78196167,4389791,9845375,41671958,3129137000,91314000,0,1.0,,13139036259,5180672068,37076992,
match,1,pulley,fib,True,832040,16,9004667,124124834,155580000,181018208,2166074000,65403000,0,1.0,,8601733327,2955523572,7192576,
match,1,pulley,fib_tail,True,873876091,3730,1726875,354917,891500,1727959,2597191000,79799000,0,1.0,,11183310915,3628688294,7880704,
match,1,pulley,audio_dsp,True,761667740,1,3224250,2247243583,2247243583,2247243583,2028009000,59406000,0,1.0,,7490866340,2806307995,8962048,
match,1,pulley,call_indirect,True,-9175573,34,9057042,38440916,52800334,124536208,1550266000,42296000,0,1.0,,4745751641,2144980764,9879552,
match,1,pulley,convolution.scalar,True,8190685,79,2741834,14111958,25262917,41011625,1704156000,54987000,0,1.0,,6447407606,2291873952,10125312,
match,1,pulley,xmrsplayer,True,821936101,54,307325167,11317583,13374708,33791666,801206000,22286000,0,1.0,,4269783777,1562691534,37109760,
match,1,pulley,vtable_poly4,True,-126115384,41,5943792,46000208,95481083,190041709,3286446000,92398000,0,1.0,,11070682957,4661369836,37109760,
match,1,pulley,graphql_as,True,5,140,161894541,7674000,17109750,26111125,2026625000,69513000,0,1.0,,6487666777,2613915939,37109760,
tail,2,pulley,fib,True,832040,18,2142833,85896500,106635166,132564625,1726779000,54298000,0,1.0,,6418770073,2194264293,7208960,
tail,2,pulley,fib_tail,True,873876091,3008,1668875,247667,632166,1295041,1558731000,46327000,0,1.0,,6557786207,1998582965,7749632,
tail,2,pulley,audio_dsp,True,761667740,1,3538750,1403640625,1403640625,1403640625,1214280000,40289000,0,1.0,,5338906725,1569432853,8863744,
tail,2,pulley,call_indirect,True,-9175573,47,6957959,26248250,37952667,45581791,1550818000,48125000,0,1.0,,4177817674,2006248022,9830400,
tail,2,pulley,convolution.scalar,True,8190685,123,2309042,6489833,14108583,18326583,1514652000,49547000,0,1.0,,8147588719,1964105809,9961472,
tail,2,pulley,xmrsplayer,True,-1708094182,106,254827625,10253166,19498042,23673125,1793653000,59910000,0,1.0,,6314087750,2298612059,37175296,
tail,2,pulley,vtable_poly4,True,-126115384,29,7948541,43048333,68082125,78708334,1653857000,49341000,0,1.0,,5288317446,2264670524,37175296,
tail,2,pulley,graphql_as,True,5,342,172691833,5593292,12331875,16613250,3662779000,118537000,0,1.0,,11843228252,4643448761,37175296,
match,2,pulley,fib,True,832040,13,2164334,147133542,169311334,191487583,1948838000,60677000,0,1.0,,6997188645,2399358660,7208960,
match,2,pulley,fib_tail,True,873876091,1680,1925375,355166,913167,1995917,1231821000,37637000,0,1.0,,5039980359,1625166350,7831552,
match,2,pulley,audio_dsp,True,761667740,1,3502083,2481055708,2481055708,2481055708,2205059000,66732000,0,1.0,,7501608694,2814471102,8814592,
