variant,build,runtime,rep,case,result,iterations,median_ms,cpu_user_ms,e_share,ipc,instructions,cycles
base,tinywasm next b45a98a,tinywasm,1,fib(30),832040,11,166.835,1822.85,0.998,3.17,10612953271,3349078169
base,tinywasm next b45a98a,tinywasm,1,matmul relaxed-simd FMA,48907,446,4.495,2000.70,1.000,3.20,11738834519,3663307894
base,tinywasm next b45a98a,tinywasm,1,audio DSP (1000 frames × 512),761667740,1,1704.988,1690.88,1.000,3.34,10363983034,3099067895
base,tinywasm next b45a98a,tinywasm,1,call_indirect (200K dispatches),-9175573,57,34.786,1973.64,1.000,2.44,8831329751,3612710753
base,tinywasm next b45a98a,tinywasm,1,xmrsplayer (1024-frame buffer),-1323583813,84,24.052,2015.19,1.000,2.71,10010677127,3688587903
base,tinywasm next b45a98a,tinywasm,1,vtable_poly4 (200K),-126115384,28,71.316,1988.64,1.000,2.66,9671605064,3639755743
base,tinywasm next b45a98a,tinywasm,1,graphql-validation (AS),5,100,19.742,1994.86,1.000,2.34,8538268876,3651184613
base,tinywasm next b45a98a,tinywasm,1,graphql-validation (Porffor),0,116,16.728,1657.05,1.000,2.10,7523095786,3589468552
base,tinywasm next b45a98a,tinywasm,1,sieve(10000) [scalar build],1229,1725,1.121,1923.68,1.000,3.14,11066576014,3520006310
base,tinywasm next b45a98a,tinywasm,1,crc32(64KB) [scalar build],-1910355869,246,8.122,1981.12,1.000,3.20,11583756169,3625132401
base,tinywasm next b45a98a,tinywasm,1,convolution 256×256 [scalar build],8190685,89,22.338,1982.37,1.000,3.05,11072209277,3627522090
base,tinywasm next b45a98a,tinywasm,1,bulk_memory (memory.copy/fill) [scalar build],8698902,120,16.757,2001.09,1.000,3.31,12125787694,3662068522
base,tinywasm next b45a98a,tinywasm,1,tail-call FSM (65536 return_call),-1841735369,253,8.013,2023.03,1.000,3.09,11449159061,3706735851
base,tinywasm next b45a98a,tinywasm,1,"EH parser, exnref (4096 stmts, 25% throw)",830008030,86,23.111,1978.57,1.000,2.65,9585445684,3622465009
base,tinywasm next b45a98a,tinywasm,1,GC binary trees (~130K struct.new),-81253392,12,156.628,1833.73,1.000,2.18,7461922004,3418745361
base,tinywasm next b45a98a,tinywasm,1,call_ref twin: call_indirect (200K),-750120562,66,30.134,1983.80,1.000,2.58,9359580271,3630189983
base,tinywasm next b45a98a,tinywasm,2,fib(30),832040,11,164.661,1798.94,1.000,3.22,10597189489,3296080196
base,tinywasm next b45a98a,tinywasm,2,matmul relaxed-simd FMA,48907,449,4.492,2013.65,1.000,3.21,11817576336,3686654078
base,tinywasm next b45a98a,tinywasm,2,audio DSP (1000 frames × 512),761667740,1,1704.584,1690.08,1.000,3.35,10363893065,3097532370
base,tinywasm next b45a98a,tinywasm,2,call_indirect (200K dispatches),-9175573,57,35.375,2007.26,1.000,2.40,8831081428,3672221728
base,tinywasm next b45a98a,tinywasm,2,xmrsplayer (1024-frame buffer),-88237965,78,25.345,1965.08,1.000,2.59,9297163267,3594844582
