rep,variant,case,result,iterations,cycles_per_call,instructions_per_call,cpu_ms_per_call,e_share
1,base,"EH parser, exnref (4096 stmts, 25% throw)",830008030,84,42055304.547619045,111456609.01190476,22.968452380952378,1.0
2,base,"EH parser, exnref (4096 stmts, 25% throw)",830008030,86,41989780.0,111465839.25581396,22.92232558139535,1.0
3,base,"EH parser, exnref (4096 stmts, 25% throw)",830008030,86,42499463.88372093,111484986.03488372,23.17406976744186,1.0
4,base,"EH parser, exnref (4096 stmts, 25% throw)",830008030,85,42004939.69411765,111467848.08235294,22.905529411764707,1.0
5,base,"EH parser, exnref (4096 stmts, 25% throw)",830008030,86,41990463.89534884,111459745.15116279,22.926744186046513,1.0
1,pr1,"EH parser, exnref (4096 stmts, 25% throw)",830008030,89,41204324.76404494,109120450.76404494,22.497415730337078,1.0
2,pr1,"EH parser, exnref (4096 stmts, 25% throw)",830008030,89,41160030.07865169,109130469.2247191,22.46696629213483,1.0
3,pr1,"EH parser, exnref (4096 stmts, 25% throw)",830008030,88,41140205.28409091,109121530.07954545,22.464772727272727,1.0
4,pr1,"EH parser, exnref (4096 stmts, 25% throw)",830008030,88,41345710.95454545,109123213.73863636,22.571022727272727,1.0
5,pr1,"EH parser, exnref (4096 stmts, 25% throw)",830008030,89,41103324.68539326,109123919.62921348,22.444157303370787,1.0
1,pr2,"EH parser, exnref (4096 stmts, 25% throw)",830008030,88,41111330.93181818,108330237.5909091,22.421704545454546,1.0
2,pr2,"EH parser, exnref (4096 stmts, 25% throw)",830008030,88,40920900.22727273,108324677.94318181,22.33727272727273,1.0
3,pr2,"EH parser, exnref (4096 stmts, 25% throw)",830008030,88,41311949.32954545,108319706.11363636,22.561136363636365,1.0
4,pr2,"EH parser, exnref (4096 stmts, 25% throw)",830008030,87,41220839.59770115,108324542.71264368,22.50758620689655,1.0
5,pr2,"EH parser, exnref (4096 stmts, 25% throw)",830008030,87,41429171.09195402,108319552.78160919,22.621954022988504,1.0
1,pr3,"EH parser, exnref (4096 stmts, 25% throw)",830008030,86,42114972.069767445,108651209.88372093,22.98953488372093,1.0
2,pr3,"EH parser, exnref (4096 stmts, 25% throw)",830008030,87,41336279.827586204,108654931.77011494,22.566666666666666,1.0
3,pr3,"EH parser, exnref (4096 stmts, 25% throw)",830008030,87,41649779.712643676,108655986.48275863,22.737011494252872,1.0
4,pr3,"EH parser, exnref (4096 stmts, 25% throw)",830008030,86,42213542.11627907,108649282.63953489,23.043372093023255,1.0
5,pr3,"EH parser, exnref (4096 stmts, 25% throw)",830008030,87,41758283.827586204,108659194.48275863,22.78977011494253,1.0
1,ub,"EH parser, exnref (4096 stmts, 25% throw)",830008030,90,40488790.64444444,106800537.64444445,22.108666666666668,1.0
