busiest thread: WasmBench (0x3189a)  samples: 11769 (100.0% on E cores)  all threads: 11886

# self time (leaf frame), top 60
 11.32%    1332  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted19JumpCmpLocalConst32
  9.82%    1156  _RNvMs2_NtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executorNtB5_8Executor14exec_return_32
  8.98%    1057  _RNvMs2_NtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executorNtB5_8Executor14exec_call_self
  8.33%     980  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10LocalSet32
  7.60%     894  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted8CallSelf
  7.49%     881  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted20BinOpLocalConstTee32
  7.16%     843  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted15AddLocalConst32
  6.28%     739  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted20JumpIfLocalNonZero32
  5.31%     625  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted7Const32
  4.80%     565  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted20BinOpStackLocalSet32
  4.43%     521  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted6I32GtU
  4.32%     509  _RNvNtNtCsiu4FEgNcf0E_8tinywasm11interpreter6values13exec_binop_32
  3.65%     430  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted8Return32
  3.13%     368  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10LocalGet32
  2.94%     346  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted17BinOpLocalLocal32
  2.06%     242  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted15SetLocalConst32
  2.00%     235  _platform_memset
  0.32%      38  __bzero
  0.02%       2  _RNvMNtCsiu4FEgNcf0E_8tinywasm11interpreterNtB2_18InterpreterRuntime4exec
  0.01%       1  lookUpImpOrForward
  0.01%       1  0x296cc1621
  0.01%       1  lstat
  0.01%       1  <deduplicated_symbol>
  0.01%       1  _xzm_free
