busiest thread: WasmBench (0x13afb4)  samples: 7817 (99.9% on E cores)  all threads: 8039

# self time (leaf frame), top 60
 24.13%    1886  set<u32>
 18.60%    1454  capacity<alloc::alloc::Global>
  4.93%     385  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10IncLocal32
  4.91%     384  pop<u32, alloc::alloc::Global>
  4.36%     341  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted19JumpCmpLocalConst32
  3.25%     254  index<u32, usize, alloc::alloc::Global>
  2.94%     230  _RINvMs2_NtNtCs36bxxCEyneN_8tinywasm11interpreter8executorNtB6_8Executor15exec_load_localhKj1_lKb0_KB1v_NvYlINtNtCsrpAx3gGG88_4core7convert4FromhE4fromEBa_
  2.70%     211  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted13LoadLocal8U32
  2.60%     203  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10LocalGet32
  2.20%     172  local_get
  2.09%     163  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10LocalSet32
  2.05%     160  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted17BinOpStackConst32
  1.92%     150  as_ref<alloc::sync::ArcInner<tinywasm_types::WasmFunction>>
  1.68%     131  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted8I32Store
  1.42%     111  handler_for
  1.33%     104  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted17BinOpLocalConst32
  1.33%     104  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted6I32Xor
  1.19%      93  _RNvMNtNtNtCs36bxxCEyneN_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted7I32Load
  1.10%      86  rotate_left<u32>
  0.99%      77  resolve<(u16, u32)>
  0.97%      76  resolve<(u32, i32, u16)>
  0.96%      75  exec_binop_32
  0.95%      74  as_mut_slice<tinywasm::store::memory::instance::MemoryInstance, alloc::alloc::Global>
  0.93%      73  _RINvMs2_NtNtCs36bxxCEyneN_8tinywasm11interpreter8executorNtB6_8Executor15exec_load_locallKj4_lKb0_KB1v_INvNtCsrpAx3gGG88_4core7convert8identitylEEBa_
  0.73%      57  non_null<alloc::alloc::Global, u32>
  0.70%      55  mem_addr
  0.69%      54  len<u32, alloc::alloc::Global>
  0.69%      54  branch<(), tinywasm::error::Trap>
  0.67%      52  resolve<tinywasm_types::instructions::CompactMemoryOperand>
